Vitamin D,Vitamin K,Vitamin C,Vitamin A,Vitamin B,Protein,Calcium,Iron,Caffeine,Melatonin
Mexican Scrambled Eggs,Asparagus,Applesauce,"Apricot Cobbler	",Corn,"Barbecued Beef Brisket	",Apple Cider,Apple Cider,Chocolate Breakfast Drink ,Cherry
"Scrambled Eggs	","Butter Cookies	",Vitamin C,Bran Chex,Cornbread Dressing,Beef Fajitas,Broccoli au Gratin,Baked Beans,Cocoa,Almonds
"Seafood Gumbo	",Butterscotch Pudding,Berry Medley,Carrot Coins,Crackers,Beef Pattie,Chicken Terivaki, Black Beans,Decaf. Coffee Black,Banana
"Seasoned Scrambled Eggs	",Candy Coated Almonds,Blueberry Raspberry Yogurt,"Chicken w / Corn & Black Beans	",Crawfish Etouffee,Beef Steak,Milk,Chicken Consomme,Decaf. Coffee w / A/S,Strawberry
"Shrimp Cocktail	","Cashews	",Candied Yams,Chicken-Pineapple Salad,Decaf. Coffee Black,Beef Stew,Rhubarb Applesauce,Chicken Terivaki,"Decaf. Coffee w/C & A/S	",
Shrimp Fried Rice,Cauliflower w / Cheese,Cherry Blueberry Cobbler,Cornbread Dressing,Granola w/ Raisins,Beef Tips w/ Mushrooms,Rice Pudding,Dried Apricots,Decaf. Coffeew/ C & S,
Tomatoes & Eggplant,Cranapple Dessert,Cherry Drink w/ A/S,Curry Sauce w/ Vegetables,Grilled Pork Chop,Breakfast Sausage Links,Shortbread Cookies,Gritsw/ Butter,"Decaf. Coffeew/ Cream	",
,"Grape Drink	",Chicken Noodle Soup,Fruit Cocktail,Homestyle Potatoes,Candy Coated Peanuts,"Waffles	",Red Beans & Rice,Decaf. Coffeew/ Sugar,
,Grape Drink w/ A/S,Citrus Fruit Salad,"Granola	",Homestyle Potatoes,Chicken Consomme,,,Green Tea,
,,Cranberry Peach Drink w/ A/S,Green Beansw/ Mushrooms,Italian Vegetables,Chicken Fajitas,,,Kona Coffee Black,
,,"Creamed Spinach	",Mango Peach Smoothie,Lasagna with Meat,Chicken in Pouches,,,Kona Coffee w/ A/S,
,,Dried Peaches,Minestrone Soup,Milk,"Chicken w / Corn & Black Beans	",,,Kona Coffee w / C & A/S,
,,Granola w/ Blueberries,Mixed Vegetables,Nut & Fruit Granola Bar,Chicken w / Peanut Sauce,,,"Kona Coffee w/ Cream	",
,,"Lemon Curd Cake	","Pasta w / Pesto Sauce	","Peanuts	","Fiesta Chicken	",,,Tea,
,,Lemon Meringue Pudding,Pears,Peanut Butter,Lasagna with Meat,,,Tea w/ Cream & Sugar,
,,Lemonade,Sweet & Sour Chicken,"Potato Medley	","Macadamia Nuts	",,,"Tea w/ Lemon & A/S	",
,,Lemon-Lime Drink,Sweet & Sour Pork,Potato Soup,Macaroni & Cheese R,,,Tea w / Lemon & Sugar,
,,Mashed Potatoes,Tomato Basil Soup,"Potatoes au Gratin	",Meatloaf,,,Tea w/ Sugar,
,,Peach-Apricot Drink,"Tomatoes & Artichokes	",Rice Pudding,Noodles & Chicken,,,"Tea with A/S	",
,,Pears,Tomatoes & Eggplant,"Salmon	",Pasta w / Shrimp,,,"Tea with Cream	",
,,Pineapple,Tropical Punch,"Smoked Turkey	","Rice & Chicken	",,,"Tea with Lemon	",
,,Pineapple Drink,Tuna,Southwestern Com,Sausage Pattie,,,,
,,Strawberries,Tuna Salad Spread,Teriyaki Vegetables,Split Pea Soup,,,,
,,Strawberry Drink,Vegetarian Vegetable Soup,"Tomatoes & Artichokes	",Sweet & Sour Chicken,,,,
,,,,"Tropical Fruit Salad	",Sweet & Sour Pork,,,,
,,,,Tropical Punch,Teriyaki Beef Steak,,,,
,,,,"Turkey Tetrazzini	",Teriyaki Chicken,,,,
,,,,Vegetable Quiche,"Tortillas	",,,,
,,,,Vegetarian Vegetable Soup,,,,,
,,,,"Yogurt Covered Granola Bar	",,,,,
